store,price,friendly name,city,state,zip,address,Unnamed: 6
634,47.8,Bloomington,Bloomington,IN,47404,350 North Gates Dr,
2384,59.75,Framingham,Framingham,MA,1701,350 Cochituate Rd,
1050,95.6,San Clemente,San Clemente,CA,92673,907 Avenida Pico,
779,95.6,Howell,Howell,MI,48843,1100 South Latson Rd,
478,95.6,Mount Airy,Mount Airy,NC,27030,692 South Andy Griffith Parkway, Ste. 100
2533,95.6,Bismarck,Bismarck,ND,58503,1401 Century Ave West,
695,143.4,FT. Gratiot,Fort Gratiot,MI,48059,4200 24th Ave,
311,143.4,Greenwood Village,Greenwood Village,CO,80111,9100 East Peakview Ave,
2733,152.96,Port Orchard,Port Orchard,WA,98366,150 Sedgwick Rd,
2313,191.2,W. St. Paul,West St. Paul,MN,55118,1795 Robert St,
2336,209.6,Iwilei - Honolulu,Honolulu,HI,96817,411 Pacific St,
2961,239.0,Kyle,Kyle,TX,78640,5753 Kyle Pkwy,
2948,239.0,N.W. Charleston,Summerville,SC,29485,9600 Dorchester Rd,
2956,239.0,Moses Lake,Moses Lake,WA,98837,1400 East Yonezawa Blvd,
2955,239.0,N.E. Anchorage,Anchorage,AK,99504,1200 North Muldoon,
2965,239.0,Pineville,Pineville,LA,71360,3200 Monroe Highway,
2954,239.0,Lacamas Lake,Vancouver,WA,98683,18801 SE Mill Plain Blvd,
2962,239.0,Odessa,Odessa,TX,79762,4101 East 42nd St, Ste P
2945,239.0,Shepherdsville,Shepherdsville,KY,40165,800 Conestoga Pkwy,
1001,239.0,Victorville,Victorville,CA,92392,14333 Bear Valley Rd,
2943,239.0,East Kansas City,Kansas City,MO,64133,4201 Sterling Ave,
2942,239.0,Elkhart,Elkhart,IN,46514,110 County Rd 6 W,
2939,239.0,Salem,Salem,VA,24153,840 West Main St,
2938,239.0,Lisbon,Lisbon,CT,6351,155 River Rd,
2933,239.0,Sw Sarasota,Sarasota,FL,34238,4020 Central Sarasota Pkwy,
2930,239.0,Tiffin,Tiffin,OH,44883,1025 West Market St,
2929,239.0,Murphy,Murphy,TX,75094,111 East Fm 544,
